A3,Apparel & Intimate Wear,Asphalt Black Denim Jackets,DS LLC,$24.99 ,Denim with hidden pocket sleeves.,
A4,Apparel & Intimate Wear,Dark Streeter Tees,DS LLC,$24.99 ,Quotes + neon visuals,
A5,Apparel & Intimate Wear,Silk Scarves,DS LLC,$24.99 ,Graffiti-tagged street names (Memory & Mercury).,
A6,Apparel & Intimate Wear,Boxers,DS LLC,$24.99 ,Blackout: No Eyes No Rules print inside the waistband.,
A7,Apparel & Intimate Wear,Tank Tops (Men/Women),DS LLC,$24.99 ,Ribbed rib-cage hugging with DS tattoos or maplines,
A8,Apparel & Intimate Wear,Hats,DS LLC,$24.99 ,Baseball Caps,
A9,Apparel & Intimate Wear,Limited-Edition Hoodies,DS LLC,$24.99 ,Inside lining printed with scene excerpts.,
A10,Apparel & Intimate Wear,Convertible Wrap Dresses,DS LLC,$24.99 ,From streetlight to backseat.,
B1,Auto + Mobility,Custom LED Underlighting Kits,DS LLC,$24.99 ,Streeter Mode with remote noir hues.,
B2,Auto + Mobility,Dark Streets Branded Scent Diffusers,DS LLC,$24.99 ,Prowlers Leather  Bleach & Bourbon.,
B3,Auto + Mobility,Window Shades,DS LLC,$24.99 ,Shades printed with silhouettes of Dancer mid-pirouette and iconic car kisses.,
B4,Auto + Mobility,Prowler Dashboard Confessionals,DS LLC,$24.99 ,Recordable voice note keychains.,
B5,Auto + Mobility,Seatbelt Harness Covers,DS LLC,$24.99 ,Embroidered with Feel the Wind. Follow the Heat.,
B6,Auto + Mobility,Streetin' Survival Kits,DS LLC,$24.99 ,Mini Travel packs with wipes condoms pepper spray gum.,
B7,Auto + Mobility,Mirror Charms,DS LLC,$24.99 ,Tiny dancers streetlight beads black feathers.,
B8,Auto + Mobility, Erotic & Mystery-Inspired,DS LLC,$24.99 ,Glovebox Zines Micro-stories printed like erotic manuals.,
B9,Auto + Mobility,Custom Vanity Plate Frames,DS LLC,$24.99 ,No Rules After Midnight.,
B10,Auto + Mobility,Backseat Throw Blankets,DS LLC,$24.99 ,Stealthy black embroidered with moon phases.,
C1,Accessories,Retro Noir Sunglass Series,DS LLC,$24.99 ,Aries Blackout & Dancer Glare,
C2,Accessories,Cigarette Case Wallets,DS LLC,$24.99 ,Matte black engraved with DS quotes.,
C3,Accessories,Lighter Collabs,DS LLC,$24.99 ,Zippo-style with scene titles etched in chrome.,
C4,Accessories,Silicone Wristbands,DS LLC,$24.99 ,Phrases like Bangin Joy Outta Satisfaction.,
C5,Accessories,Temporary Tattoos,DS LLC,$24.99 ,Noir symbols quotes GPS coordinates.,
C6,Accessories,Embroidered Patches,DS LLC,$24.99 ,We Rehearse in the Ruins DSA Memory+Mercury.,
C7,Accessories,Knuckle Rings,DS LLC,$24.99 ,Engraved with single words: Risk. Safety. Lust. Control.,
C8,Accessories,Graffiti Street Tag Stickers,DS LLC,$24.99 ,Stickers for sticking,
C9,Accessories,Leather Keychains,DS LLC,$24.99 ,Still Thinking? & car outline silhouettes.,
C10,Accessories,Dashboard Candles,DS LLC,$24.99 ,Featuring neon saints of the street on suction cups,
D1,"Home, Mood, and Atmosphere",DS Scented Candle Collection,DS LLC,$24.99 ,Featuring the scent of the street in mason jars,
D2,"Home, Mood, and Atmosphere",Asphalt & Aftershave,DS LLC,$24.99 ,Featuring the scent of the street in mason jars,
D3,"Home, Mood, and Atmosphere",Coconut & Gin,DS LLC,$24.99 ,Featuring the scent of the street in mason jars,
D4,"Home, Mood, and Atmosphere",Midnight Bleach,DS LLC,$24.99 ,Featuring the scent of the street in mason jars,
D5,"Home, Mood, and Atmosphere",Prowler Interior: '69 Edition,DS LLC,$24.99 ,Featuring the scent of the street in mason jars,
D6,"Home, Mood, and Atmosphere",Neon Light Wall Signs,DS LLC,$24.99 ,Phrases: Youre Art Feel the Wind.,
D7,"Home, Mood, and Atmosphere",Backseat Room Fragrance,DS LLC,$24.99 ,Erotic scents from afar,
D8,"Home, Mood, and Atmosphere",Moonlight Noir Projection Lamps,DS LLC,$24.99 ,Cast your city's skyline to  silhouette your ceiling. (LA NYC CHI),
D9,"Home, Mood, and Atmosphere",Soundscape Machines,DS LLC,$24.99 ,Prowler engine purr soft panting vinyl crackle.,
D10,"Home, Mood, and Atmosphere",Secret-Safe Lamps,DS LLC,$24.99 ,Stash drawers + noir glow w/silhouette of dancer.,
D11,"Home, Mood, and Atmosphere",Erotic Tarot Decks,DS LLC,$24.99 ,DS themes: 'The Driver'  'The Dancer' 'The Signal'.,
D12,"Home, Mood, and Atmosphere",Streetlight Bath Bombs,DS LLC,$24.99 ,Dissolve into deep shadowy hues. Mist in a bottle.,
D13,"Home, Mood, and Atmosphere",Art Prints,DS LLC,$24.99 ,High-contrast car scenes dancers in streetlight halos.,
D14,"Home, Mood, and Atmosphere",Tabletop Graffiti Sets,DS LLC,$24.99 ,Chalk spray and DS stencils for home art.,
E1,Media + Experiences,Official Dark Streets Driving Playlists,DS LLC,$24.99 ,Spotify/Apple collabs.,
E2,Media + Experiences,Guided Driving Meditation Audio,DS LLC,$24.99 ,Become the Car. Be the Curve.,
E3,Media + Experiences,Erotic & Mystery-Inspired,DS LLC,$24.99 ,Erotic Soundtracks Lo-fi noir beats + DS dialogue intercuts.,
E4,Media + Experiences,Interactive Audio Zines,DS LLC,$24.99 ,Choose-your-own-street drama.,
E5,Media + Experiences,Midnight Poetry Readings,DS LLC,$24.99 ,Digital or IRL read by the characters.,
E6,Media + Experiences,DS Short Film Anthology,DS LLC,$24.99 ,Episodes adapted from key scenes.,
E7,Media + Experiences,Voice Memos from Aries or Dancer,DS LLC,$24.99 ,Digital experience & memorabilia,
E8,Media + Experiences,Car Sex Safety Course,DS LLC,$24.99 ,cheeky online video/ebook for adventurous fans.,
E9,Media + Experiences,Digital 'Rehearse in the Ruins',DS LLC,$24.99 ,Photo Filters (like stickers as overlay to photos),
E10,Media + Experiences,DSA: Dark Streeters Anonymous Newsletter,DS LLC,$24.99 ,Curated confessions.,
F1,Digital + Curated Services,'DS Route Generator' App,DS LLC,$24.99 ,Find the darkest streets in your city.,
F2,Digital + Curated Services,'Streetin' Score' AI Tool,DS LLC,$24.99 ,Analyze your mood suggest music + scent + route,
F3,Digital + Curated Services,Digital Streetlight Flash Fiction Pack,DS LLC,$24.99 ,50 micro-tales unlocked by GPS.,
F4,Digital + Curated Services,Text Message Confessional Subscription,DS LLC,$24.99 ,Daily noir thoughts or quotes.,
F5,Digital + Curated Services,Augmented Reality Scene Overlays,DS LLC,$24.99 ,Point your phone at an alley watch DS unfold.,
F6,Digital + Curated Services,Chatbot Roleplay with Aries or Dancer,DS LLC,$24.99 ,Text-based storytelling.,
F7,Digital + Curated Services,Custom Memory Erasure Generator,DS LLC,$24.99 ,Write the memory you'd street away. Etchasketch shakabily,
G1,Culinary & Novelty,'Noir-ade' Beverages,DS LLC,$24.99 ,Black lemon tonic bittersweet gin mocktails.,
G2,Culinary & Novelty,Dark Street Mugs,DS LLC,$24.99 ,Joe on the Road,
G3,Culinary & Novelty,'Confession Shots' Kits,DS LLC,$24.99 ,Mini glass bottles labeled by mood.,
G4,Culinary & Novelty,Streetlight Ice Cubes,DS LLC,$24.99 ,Glow LED cubes for drinks.,
G5,Culinary & Novelty,Prowler Flask Kit,DS LLC,$24.99 ,Curved black flask + secret shot vial.,
H1,Collector & Art-Based,Limited-Edition Zines,DS LLC,$24.99 ,Alternate POV stories or Aries' and Dancer's private journals.,
H2,Collector & Art-Based,Graphic Novella Box Sets,DS LLC,$24.99 ,illustrated DS episodes.,
H3,Collector & Art-Based,Hand-Numbered Prints of DS Street Maps,DS LLC,$24.99 ,Each a unique and abstract routes through North Hollywood.,
H4,Collector & Art-Based,Collectible Character Cards,DS LLC,$24.99 ,Noir RPG-style attributes and secrets.,
H5,Collector & Art-Based,DS Polaroid Sets,DS LLC,$24.99 ,Found-footage style shots from iconic scenes.,
H6,Collector & Art-Based,Tactile Memory Packs,DS LLC,$24.99 ,Scent swatches texture cards audio clips.,
H7,Collector & Art-Based,Backseat Diorama Kits,DS LLC,$24.99 ,For display collectors (adult and subtle).,
I1,Live & Social Activation,Backseat Theater Box,DS LLC,$24.99 ,Couple's improv prompt cards for car confessionals.,
I2,Live & Social Activation,'Memory & Mercury' Scavenger Hunt,DS LLC,$24.99 ,City-based DS clues,
I3,Live & Social Activation,Pop-Up Confession Booths,DS LLC,$24.99 ,DS-branded limited times/locations.,
I4,Live & Social Activation,Streetlight Salons,DS LLC,$24.99 ,Exclusive story readings at dive bars,
I5,Live & Social Activation,Backseat Photo Booth Pop-Ups,DS LLC,$24.99 ,Create your own DS scene.,
I6,Live & Social Activation,Custom Drive-In Screenings,DS LLC,$24.99 ,DS visual mixtapes + merch trucks.,
J1,Relationship Erotic & Mystery-Inspired,DS Bedroom Dice,DS LLC,$24.99 ,Window fog' 'Dash grip' 'Soft scream.',
J2,Relationship Erotic & Mystery-Inspired,Lovers Game,DS LLC,$24.99 ,'What Are You Seeing?'  poetic prompt cards.,
J3,Relationship Erotic & Mystery-Inspired,Anonymous Drop Letters,DS LLC,$24.99 ,prewritten mystery notes to leave behind.,
J4,Relationship Erotic & Mystery-Inspired,Stolen Glance Mirrors,DS LLC,$24.99 ,Vanity mirrors etched with sensual prompts.,
J5,Relationship Erotic & Mystery-Inspired,Aries' Burner Phone Prop Replica,DS LLC,$24.99 ,Flip-phone with auto-loaded audio drops.,
J6,Relationship Erotic & Mystery-Inspired,DS Mood Ring Keychains,DS LLC,$24.99 ,Noir hues reflect emotional temp.,
J7,Relationship Erotic & Mystery-Inspired,Journals,DS LLC,$24.99 ,'Crash Like You Mean It' with Cover Art,
J8,Relationship Erotic & Mystery-Inspired,Customizable Digital Memory Vaults,DS LLC,$24.99 ,USB drives with encrypted secret stories/visuals.,
